species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,bill_ratio,body_mass_index,size_category
Adelie,Biscoe,34.5,18.1,187.0,2900.0,FEMALE,1.9060773480662982,82.93059567045097,Small
Adelie,Biscoe,41.4,18.6,191.0,3700.0,MALE,2.225806451612903,101.42265837011047,Small
Adelie,Biscoe,39.0,17.5,186.0,3550.0,FEMALE,2.2285714285714286,102.61301884610937,Small
Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE,2.1595744680851063,102.01616150769146,Small
Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE,2.1987951807228914,86.99368151155338,Small
Adelie,Biscoe,37.6,19.1,194.0,3750.0,MALE,1.9685863874345548,99.63864385163141,Small
Adelie,Biscoe,35.7,16.9,185.0,3150.0,FEMALE,2.112426035502959,92.03798392987582,Small
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE,1.9573459715639807,115.71334648257725,Medium
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,2.211764705882353,105.18626734842952,Small
Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE,2.258241758241758,109.86328124999999,Medium
Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE,2.1286549707602336,84.18005671077506,Small
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,2.3111111111111113,107.15060763888889,Medium
Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE,2.191358024691358,88.0999342537804,Small
Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE,2.1518324607329844,116.00271616115889,Medium
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE,2.1626506024096384,84.48753462603878,Small
Adelie,Torgersen,41.8,19.4,198.0,4450.0,MALE,2.154639175257732,113.50882563003775,Medium
Adelie,Torgersen,33.5,19.0,190.0,3600.0,FEMALE,1.763157894736842,99.7229916897507,Small
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,2.1576086956521743,108.03324099722991,Small
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,2.302325581395349,92.40941274468969,Small
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,2.4232804232804233,106.93395861784637,Medium
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,2.0285714285714285,102.49307479224377,Small
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,2.3135135135135134,111.76857330703484,Medium
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,2.4345238095238093,101.42265837011047,Small
Adelie,Torgersen,37.2,19.4,184.0,3900.0,MALE,1.9175257731958766,115.1937618147448,Small
Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE,2.248447204968944,101.51848780348308,Small
Adelie,Torgersen,42.1,19.1,195.0,4000.0,MALE,2.2041884816753927,105.1939513477975,Medium
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,2.011627906976744,89.58315836622715,Small
Adelie,Torgersen,42.9,17.6,196.0,4700.0,MALE,2.4374999999999996,122.34485630987088,Medium
Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE,1.952127659574468,108.6676770854185,Small
Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE,1.8092783505154642,112.75470482429057,Medium
Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE,2.095505617977528,91.82862311888381,Small
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,2.0344827586206895,94.32458284621106,Small
Adelie,Dream,36.3,19.5,190.0,3800.0,MALE,1.8615384615384614,105.26315789473684,Small
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,1.9838709677419353,97.98157946306094,Small
Adelie,Dream,38.3,19.2,189.0,3950.0,MALE,1.9947916666666665,110.57921110831164,Medium
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,2.0691489361702127,99.7229916897507,Small
Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE,1.9833333333333334,87.0012743848642,Small
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,2.270718232044199,102.32004759071982,Medium
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,1.9883040935672514,99.34258582907232,Small
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE,2.187845303867403,128.62758700427796,Medium
Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE,2.092485549132948,94.36929852154765,Small
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE,2.1587301587301586,99.38979289940829,Medium
Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE,2.0483870967741935,102.49307479224377,Small
Adelie,Dream,40.3,18.5,196.0,4350.0,MALE,2.1783783783783783,113.2340691378592,Medium
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,2.0559006211180124,91.5288473677566,Small
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,2.3351351351351353,111.21961805555554,Medium
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE,1.9553072625698324,101.04709201388889,Small
Adelie,Biscoe,41.0,20.0,203.0,4725.0,MALE,2.05,114.65941905894341,Medium
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,2.35625,91.82119501926006,Small
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,1.89,117.72853185595568,Medium
Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE,2.0376344086021505,78.52559800263093,Small
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE,2.100529100529101,104.85586011342156,Small
Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE,2.244186046511628,94.69457841973687,Small
Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE,1.9100000000000001,108.03324099722991,Small
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE,2.2411764705882353,96.91401361374805,Small
Adelie,Biscoe,43.2,19.0,197.0,4775.0,MALE,2.2736842105263158,123.03847045788348,Medium
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,2.309090909090909,97.5665748393021,Small
Adelie,Biscoe,45.6,20.3,191.0,4600.0,MALE,2.2463054187192117,126.0930347304076,Medium
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE,2.2429378531073447,85.90834653279282,Small
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE,2.1641025641025644,110.1548609858538,Medium
Adelie,Biscoe,39.6,20.7,191.0,3900.0,FEMALE,1.9130434782608696,106.90496422795428,Small
Adelie,Biscoe,42.7,18.3,196.0,4075.0,MALE,2.3333333333333335,106.07559350270719,Medium
Adelie,Torgersen,38.6,17.0,188.0,2900.0,FEMALE,2.2705882352941176,82.05070167496605,Small
Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE,1.819512195121951,95.32587560920177,Small
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,2.1,93.78236891464404,Small
Adelie,Torgersen,41.1,18.6,189.0,3325.0,MALE,2.2096774193548385,93.0825004899079,Small
Adelie,Torgersen,36.2,17.2,187.0,3150.0,FEMALE,2.104651162790698,90.07978495238639,Small
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,1.9040404040404042,89.27660442811957,Small
Adelie,Torgersen,40.2,17.0,176.0,3450.0,FEMALE,2.364705882352941,111.37654958677687,Small
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE,2.2378378378378376,94.96617978629544,Small
Adelie,Torgersen,35.2,15.9,186.0,3050.0,FEMALE,2.2138364779874213,88.16048098046016,Small
Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE,2.136842105263158,101.007550314386,Medium
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,2.204545454545454,89.77275842219237,Small
Adelie,Torgersen,41.5,18.3,195.0,4300.0,MALE,2.26775956284153,113.0834976988823,Medium
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE,2.280701754385965,83.60516433211808,Small
Adelie,Torgersen,44.1,18.0,210.0,4000.0,MALE,2.45,90.702947845805,Medium
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,2.1508379888268156,92.10526315789474,Small
Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE,2.244791666666667,90.18526630420779,Small
Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE,1.989189189189189,93.96225402024214,Small
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,2.027027027027027,113.00219691421931,Medium
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE,2.164772727272727,97.94389316251537,Small
Adelie,Dream,41.1,17.5,190.0,3900.0,MALE,2.3485714285714288,108.03324099722991,Small
Adelie,Dream,35.6,17.5,191.0,3175.0,FEMALE,2.0342857142857143,87.03160549327046,Small
Adelie,Dream,40.2,20.1,200.0,3975.0,MALE,2.0,99.37499999999999,Medium
Adelie,Dream,37.0,16.5,185.0,3400.0,FEMALE,2.242424242424242,99.34258582907232,Small
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,2.217877094972067,114.09702273886546,Medium
Adelie,Dream,40.2,17.1,193.0,3400.0,FEMALE,2.350877192982456,91.27761819109236,Small
Adelie,Dream,40.6,17.2,187.0,3475.0,MALE,2.36046511627907,99.37373101890246,Small
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE,2.070967741935484,86.29470348574014,Small
Adelie,Dream,40.7,17.0,190.0,3725.0,MALE,2.394117647058824,103.18559556786704,Small
Adelie,Dream,37.3,16.8,192.0,3000.0,FEMALE,2.220238095238095,81.38020833333333,Small
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,2.085561497326203,106.64718772826882,Small
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE,2.10752688172043,117.72853185595568,Medium
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE,1.9891304347826089,102.64059546313801,Small
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,2.0224719101123596,90.72978303747534,Small
Adelie,Dream,37.8,18.1,193.0,3750.0,MALE,2.0883977900552484,100.67384359311659,Small
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,2.1052631578947367,105.80800137264434,Small
Adelie,Dream,41.5,18.5,201.0,4000.0,MALE,2.2432432432432434,99.00745031063586,Medium
Chinstrap,Dream,46.5,17.9,192.0,3500.0,FEMALE,2.597765363128492,94.94357638888889,Small
Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE,2.5641025641025643,101.52019991670136,Small
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE,2.671875,97.9892077639668,Small
Chinstrap,Dream,45.4,18.7,188.0,3525.0,FEMALE,2.427807486631016,99.73404255319149,Small
Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE,2.6616161616161618,95.98289056662114,Small
Chinstrap,Dream,45.2,17.8,198.0,3950.0,FEMALE,2.539325842696629,100.75502499744924,Medium
Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE,2.5329670329670333,102.57543239489965,Small
Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE,2.8186813186813184,96.62707104022262,Small
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE,2.433862433862434,109.1387245233399,Medium
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE,2.577889447236181,94.37812468115499,Small
Chinstrap,Dream,46.6,17.8,193.0,3800.0,FEMALE,2.6179775280898876,102.01616150769146,Small
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE,2.5467980295566504,100.30290147730895,Small
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE,2.7167630057803467,108.10810810810811,Small
Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE,2.87292817679558,100.24504343951881,Medium
Chinstrap,Dream,45.9,17.1,190.0,3575.0,FEMALE,2.6842105263157894,99.03047091412743,Small
Chinstrap,Dream,50.5,19.6,201.0,4050.0,MALE,2.576530612244898,100.24504343951881,Medium
Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE,2.5149999999999997,85.0318225153959,Small
Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE,3.258426966292135,112.93916547113948,Small
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,2.494623655913978,95.56786703601108,Small
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,2.7032967032967035,115.71334648257725,Medium
Chinstrap,Dream,42.4,17.3,181.0,3600.0,FEMALE,2.450867052023121,109.88675559354111,Small
Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE,2.7714285714285714,93.19919958334475,Small
Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE,2.602409638554217,82.93059567045097,Small
Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE,2.6082474226804124,102.01616150769146,Small
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,2.608938547486034,86.78500986193292,Small
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE,2.736842105263158,106.93395861784637,Medium
Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE,2.7445652173913047,84.99999999999999,Small
Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,2.6052631578947367,94.99999999999997,Small
Chinstrap,Dream,46.4,17.8,191.0,3700.0,FEMALE,2.6067415730337076,101.42265837011047,Small
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,2.6399999999999997,108.26888756692446,Medium
Chinstrap,Dream,40.9,16.6,187.0,3200.0,FEMALE,2.4638554216867465,91.50962280877349,Small
Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE,2.605769230769231,106.43300908393354,Medium
Chinstrap,Dream,42.5,16.7,187.0,3350.0,FEMALE,2.5449101796407185,95.79913637793474,Small
Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE,2.7127659574468086,99.49282923633186,Medium
Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE,2.672043010752688,94.67455621301775,Small
Chinstrap,Dream,47.5,16.8,199.0,3900.0,FEMALE,2.827380952380952,98.48236155652634,Small
Chinstrap,Dream,47.6,18.3,195.0,3850.0,FEMALE,2.601092896174863,101.24917817225509,Small
Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE,2.5120772946859904,108.843537414966,Medium
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE,2.8253012048192767,73.2421875,Small
Chinstrap,Dream,53.5,19.9,205.0,4500.0,MALE,2.6884422110552766,107.07911957168353,Medium
Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE,2.5128205128205128,89.56916099773244,Medium
Chinstrap,Dream,46.2,17.5,187.0,3650.0,FEMALE,2.64,104.37816351625726,Small
Chinstrap,Dream,50.9,19.1,196.0,3550.0,MALE,2.664921465968586,92.40941274468969,Small
Chinstrap,Dream,45.5,17.0,196.0,3500.0,FEMALE,2.676470588235294,91.1078717201166,Small
Chinstrap,Dream,50.9,17.9,196.0,3675.0,FEMALE,2.8435754189944134,95.66326530612243,Small
Chinstrap,Dream,50.8,18.5,201.0,4450.0,MALE,2.745945945945946,110.1457884705824,Medium
Chinstrap,Dream,50.1,17.9,190.0,3400.0,FEMALE,2.7988826815642462,94.18282548476454,Small
Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE,2.5,95.67461730153079,Medium
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE,2.7540106951871657,92.93946066516057,Small
Chinstrap,Dream,49.8,17.3,198.0,3675.0,FEMALE,2.8786127167630053,93.74043464952555,Small
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE,2.932926829268293,83.96252619883336,Small
Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE,2.705263157894737,97.76985718175291,Medium
Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE,2.6416184971098264,96.64688984939193,Small
Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE,2.5736040609137056,98.27950205052294,Medium
Chinstrap,Dream,42.5,17.3,187.0,3350.0,FEMALE,2.4566473988439306,95.79913637793474,Small
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE,2.776595744680851,88.89690535700481,Small
Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE,2.7228915662650603,89.0874701899619,Small
Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE,2.477386934673367,98.27950205052294,Medium
Chinstrap,Dream,50.2,18.8,202.0,3800.0,MALE,2.670212765957447,93.12812469365747,Small
Chinstrap,Dream,45.6,19.4,194.0,3525.0,FEMALE,2.350515463917526,93.66032522053352,Small
Chinstrap,Dream,51.9,19.5,206.0,3950.0,MALE,2.6615384615384614,93.08134602695826,Medium
Chinstrap,Dream,46.8,16.5,189.0,3650.0,FEMALE,2.836363636363636,102.18079001147782,Small
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE,2.6882352941176473,95.98948060486521,Small
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE,2.818181818181818,93.3510700366403,Medium
Chinstrap,Dream,43.5,18.1,202.0,3400.0,FEMALE,2.4033149171270716,83.32516419958826,Small
Chinstrap,Dream,49.6,18.2,193.0,3775.0,MALE,2.7252747252747254,101.34500255040402,Small
Chinstrap,Dream,50.8,19.0,210.0,4100.0,MALE,2.6736842105263157,92.97052154195012,Medium
Chinstrap,Dream,50.2,18.7,198.0,3775.0,FEMALE,2.6844919786096257,96.29119477604326,Small
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,FEMALE,3.4924242424242427,101.07589676781744,Medium
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,MALE,3.067484662576687,107.75047258979205,Large
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,FEMALE,3.4539007092198584,100.90702947845807,Medium
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,MALE,3.2894736842105265,119.93939904048482,Large
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE,3.282758620689655,116.81990265008115,Large
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,FEMALE,3.4444444444444446,103.17460317460319,Medium
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,FEMALE,3.1095890410958904,107.81428988567193,Medium
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,MALE,3.0522875816993467,108.42142574174852,Large
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE,3.231343283582089,100.73029463611182,Medium
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,MALE,3.038961038961039,111.4115738236885,Large
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,FEMALE,2.985401459854015,101.53725216176086,Medium
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE,3.043478260869565,118.95576131687244,Large
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE,3.321167883211679,101.53725216176086,Medium
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE,3.315068493150685,128.94267010513786,Large
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE,3.136986301369863,95.23809523809526,Medium
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,MALE,3.140127388535032,124.23283569411115,Large
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,FEMALE,3.111111111111111,94.1043083900227,Medium
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE,3.2368421052631584,128.98998791998525,Large
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,FEMALE,3.1862068965517243,109.88759414848562,Medium
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,MALE,3.2251655629139075,108.55450044639232,Large
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,MALE,3.5104895104895104,119.93939904048482,Large
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,FEMALE,3.110344827586207,108.16657652785291,Medium
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,FEMALE,3.206896551724138,96.98252110471908,Medium
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE,2.9303797468354427,109.24824229313143,Medium
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,FEMALE,3.2748091603053435,108.16657652785291,Medium
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE,3.0529801324503314,110.32990805840996,Medium
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,MALE,3.1118881118881117,87.87722908093278,Medium
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,MALE,3.1866666666666665,122.2282314764738,Large
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,FEMALE,3.370629370629371,104.30839002267574,Medium
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,MALE,3.2679738562091503,114.6694214876033,Large
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,MALE,3.091503267973856,106.5254443632822,Large
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE,3.0140845070422535,107.59826927039217,Medium
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE,3.110344827586207,117.85572592125837,Medium
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE,3.5058823529411764,114.36672967863893,Large
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,FEMALE,3.3175675675675675,106.40495867768595,Large
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,MALE,2.969325153374233,111.5702479338843,Large
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,FEMALE,3.109489051094891,109.10533624280897,Medium
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,MALE,2.566473988439306,109.46393945080379,Large
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,FEMALE,3.235294117647059,100.54548816568047,Medium
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,MALE,3.101910828025478,123.65939349112426,Large
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,FEMALE,3.1167883211678835,91.29992603550296,Medium
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,MALE,3.1,112.5925925925926,Large
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,FEMALE,3.3065693430656933,97.50566893424038,Medium
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE,3.3066666666666666,101.80898491083677,Medium
